id,x,y,z
158,0.465402193,0.702386292,0.494812527
159,0.583077893,0.676729165,0.436519809
160,0.510485022,0.66748901,0.440283743
161,0.473923003,0.672310936,0.401872316
162,0.591576571,0.72629407,0.344235873
163,0.34881096,-0.925809635,-0.234560633
164,0.324797769,-0.906275231,-0.301066448
165,0.395509423,0.58085135,-0.954495006
166,0.316940919,0.619763165,-0.959417073
167,-0.119466177,0.678433659,-0.73309849
168,0.513074463,0.499102898,-1
169,0.408677947,0.566251009,-0.975341408
170,0.401042416,0.571566341,-0.970805385
171,0.246937488,0.656163093,-0.954398494
172,0.231821351,0.66647977,-0.932442214
173,0.168789492,0.665335965,-0.890266853
174,0.290161231,0.64737149,-0.976161753
175,0.202916994,0.675002243,-0.907687111
176,0.005477663,0.669193505,-0.774019206
177,0.077402149,0.666098502,-0.86464315
178,-0.235145573,0.844330313,-0.208179318
179,-0.209370677,0.786355073,-0.475997684
180,-0.205340445,0.791244281,-0.503860445
181,-0.233833147,0.848142998,-0.283622062
182,-0.138194252,0.682941599,-0.735318245
183,0.580222869,0.405443169,-0.620325242
184,0.431031239,0.560217996,-0.902765044
185,0.494350814,0.526957926,-0.720552044
186,0.605342658,0.475847762,-0.510302562
187,0.374218465,0.61025388,-0.924287024
188,0.26176591,0.663384767,-0.915070212
189,0.368619076,0.60446757,-0.803985909
190,0.529894762,0.498945905,-0.725232833
191,0.246494849,0.650466493,-0.880808763
192,0.290072704,0.651744864,-0.869854751
193,0.186627862,0.661680273,-0.873570429
194,0.118253345,0.662173679,-0.840032814
195,0.113448493,0.671727819,-0.826859046
196,-0.013139752,0.672849197,-0.775129084
197,-0.169179014,0.80806495,0.807074265
198,-0.250927883,0.843679914,0.890073831
199,-0.217822878,0.791625549,0.855040293
200,0.032126772,0.808603212,0.395695604
201,0.136627309,0.795281242,0.428123341
202,0.190921465,0.789831345,0.42585533
203,0.108749876,0.800282587,0.384403803
204,0.10325672,0.803848569,0.364638325
205,0.056755231,0.804319548,0.494764272
206,-0.065541182,0.823921234,0.41856874
207,0.336970354,0.79079573,0.362544033
208,0.282901944,0.78913609,0.312869758
209,0.183064614,0.797075446,0.329180138
210,0.247867031,0.789091235,0.278318776
211,0.382097447,0.775253431,0.267688076
212,0.443048901,0.758186059,0.114896492
213,0.396505361,0.76433121,0.071027361
214,0.325904368,0.776128106,0.200096511
215,0.653723151,0.524490894,0.74516238
216,0.474011531,0.613057325,0.804178932
217,0.642612901,0.53509913,0.847801959
218,0.335487512,0.623306719,0.89726391
219,0.621565394,0.533731049,0.683926072
220,0.803777928,0.413420651,0.559668002
221,0.534498213,0.601394994,0.755875115
222,0.684154614,0.494639813,0.628576943
223,0.820487567,0.398667803,0.263127925
224,0.780074585,0.338588858,-0.276161753
225,0.744110129,0.44759128,0.488442793
226,0.738023836,0.378646721,-0.110539497
227,0.806300973,0.301946712,-0.532369831
228,0.811170007,0.195776891,-0.476224485
229,0.735788507,0.333890284,-0.641026878
230,0.706839886,0.368545349,-0.802634754
231,0.407394292,0.562348614,-0.975003619
232,0.477530514,0.512604288,-0.974521064
233,0.511193245,0.499013187,-0.928388747
234,0.766286366,0.372189827,-0.714423587
235,0.578917083,0.450307258,-0.829078801
236,0.616076665,0.414799946,-0.820248034
237,0.531908772,0.461516552,-0.974858852
238,0.765002711,0.239178703,-0.805916132
239,0.864508062,0.189346909,-0.660570381
240,0.732667899,0.111570378,-0.723736911
241,0.792911129,0.00863461,-0.653911113
242,0.711376941,0.266975195,-0.792790619
243,0.705711156,0.250579304,-0.792742364
244,0.64978366,0.318861577,-0.801862665
245,0.727334093,0.129864538,-0.748298991
246,-0.154625029,0.825199605,0.404815905
247,0.52212644,0.527787746,0.867731506
248,0.585932918,0.48588858,0.886261642
249,0.591067536,0.458567328,0.910389422
250,0.807828079,0.391069346,0.068773826
251,0.80492879,0.388086481,-0.295410896
252,0.538083592,0.684197542,0.447136032
253,0.447630219,0.674688257,0.363127925
254,0.577235053,0.652933525,0.593398639
255,0.627651687,0.616690589,0.310852676
256,0.698142021,0.478646721,-0.301438016
257,0.753649009,0.449067014,-0.623317087
258,0.614438899,0.51617027,-0.983496598
259,0.739373886,0.465968422,-0.887757564
260,-0.826662388,0.18265004,-0.384181827
261,-0.922206115,0.108538172,-0.31574579
262,-0.820841679,0.156324572,-0.459947884
263,-0.319463964,0.843029515,0.395213048
264,-0.279097458,0.818964744,-0.001288423
265,-0.594099616,0.625930744,-0.405838923
266,-0.575043987,0.56560061,-0.582589393
267,-0.652306705,0.567663945,-0.462389615
268,-0.57137008,0.517246793,-0.70515852
269,-0.473856607,0.553130887,-0.840081069
270,-0.403388405,0.553534583,-0.805626598
271,-0.542709175,0.49044586,-0.835641558
272,-0.494018834,0.516865524,-0.836027602
273,-0.473347572,-0.706400825,0.852627515
274,-0.473170516,-0.680923118,0.865173961
275,-0.44988768,-0.727079035,0.763740771
276,-0.275863977,-0.764577913,-0.067083916
277,-0.646353204,0.301917556,0.862761183
278,-0.706175927,0.218897461,0.944168315
279,-0.774342404,0.086036602,0.992665155
280,-0.825843505,-0.073495111,0.958644984
281,-0.714918056,0.138274872,0.85648796
282,-0.736917237,0.043563291,0.820875356
283,-0.761107484,-0.133802817,0.756695459
284,-0.759403322,-0.199380999,0.706220142
285,-0.691723749,-0.371804073,0.450224388
286,-0.61085352,-0.500426124,0.18169184
287,-0.759779566,-0.303646721,0.043676109
288,-0.678024057,-0.413855746,-0.24676929
289,-0.511768677,-0.577419934,0.150726246
290,-0.468721989,-0.584372477,0.007614728
291,-0.675434617,-0.504956491,0.063692516
292,-0.735456527,-0.480196465,-0.151300487
293,-0.64832295,0.251929667,-0.842831636
294,-0.719300187,0.094559074,-0.860927472
295,-0.593214337,0.28389948,-0.847078126
296,-0.706928414,0.19519826,-0.806736476
297,-0.718060797,0.14005562,-0.824011967
298,-0.70352009,0.19206513,-0.844810114
299,-0.760797636,0.034695434,-0.845968248
300,-0.64664092,0.176996053,-0.884090141
301,-0.682229132,0.067437427,-0.928485258
302,-0.776356413,-0.013905087,-0.820971867
303,-0.698252681,-0.04851081,-0.928726536
304,-0.710159682,0.045299184,-0.945133427
305,-0.724434805,0.098324661,-0.976016986
306,-0.7315613,-0.074885619,-0.919123679
307,-0.707990749,-0.163855746,-0.895430198
308,-0.721668308,0.071196286,-0.883655841
309,-0.81502097,0.018323316,-0.735173479
310,-0.747540585,0.078534583,0.814071322
311,-0.867031106,-0.292881493,0.327216137
312,-0.686522735,-0.224096169,-0.869420451
313,-0.748957031,-0.055059657,0.776962795
314,-0.840517003,-0.102202386,0.71505091
315,-0.786382197,-0.212770252,0.709405009
316,-0.814777518,-0.382255315,0.61110843
317,-0.780406564,-0.253745402,0.661197703
318,-0.866367147,-0.328765587,0.298711577
319,-0.883187447,-0.314725935,0.071480963
320,-0.943651997,-0.274603032,-0.034324181
321,-0.814578331,-0.322867139,-0.432567678
322,-0.78585103,-0.305822194,-0.549211022
323,-0.281279671,0.821499058,-0.465473146
324,-0.295251585,0.852449089,-0.419881291
325,-0.230621798,-0.731878532,-0.619601409
326,-0.218263304,-0.723916749,-0.287747913
327,-0.175641551,-0.705593433,-0.723929933
328,-0.354388217,-0.669462636,-0.509535299
329,-0.353613598,-0.645711851,-0.608454374
330,-0.332189848,-0.640912353,-0.75375187
331,-0.335642436,-0.627949224,-0.721275877
332,-0.325085485,-0.655714542,-0.662886648
333,-0.602288446,-0.366802727,-0.762920427
334,-0.678510961,-0.328047905,-0.696279496
335,-0.615080726,-0.402395263,-0.600299184
336,-0.670167207,-0.39553243,-0.537726198
337,-0.423285049,-0.599084956,-0.61067413
338,-0.402149015,-0.585022876,-0.685615017
339,-0.498135381,-0.521261326,-0.652366935
340,-0.422709617,-0.598389701,-0.628769966
341,-0.411046068,0.835493855,0.466100468
342,-0.394712672,0.79456356,0.506490373
343,-0.481558534,0.704830896,0.569849925
344,-0.412329722,0.769781107,0.522897264
345,-0.462480773,0.731721539,0.549148289
346,-0.509998119,0.6844891,0.549727356
347,-0.557161353,0.646967794,0.585484727
348,-0.615147122,-0.52370593,1
349,-0.530071818,-0.611621961,0.969405974
350,-0.482111833,-0.787678299,0.822274767
351,-0.496873859,-0.645689423,0.921198668
352,-0.475051733,-0.712904817,0.850456015
353,-0.477663306,-0.744908944,0.826521257
354,-0.400267797,-0.80687629,0.562708102
355,-0.380858057,-0.795191531,0.101230517
356,-0.17233946,0.819503005,0.588331805
357,-0.231219361,0.784538441,0.605366018
358,-0.325904368,0.776531802,0.563287169
359,-0.265990904,0.780770611,0.788206341
360,-0.199276284,0.809343321,0.644356512
361,-0.785939558,0.067293891,0.736717657
362,-0.837949694,0.233372208,0.595956184
363,-0.917646929,-0.117610119,0.660184336
364,-0.912401651,0.158228671,0.410944361
365,-0.979616453,-0.08737777,0.320146697
366,-0.916097691,0.134764959,0.300371568
367,-0.944448748,-0.046380192,0.272272354
368,-0.934179512,0.093042971,0.132591806
369,-0.936946009,-0.048981789,0.079245283
370,-1,-0.161254149,-0.049341312
371,-0.963814224,0.050302772,-0.225006032
372,-0.811413458,0.19404324,-0.428099213
