ID,mdsX,mdsy,mdsZ
394,-0.371742033,0.440593255,-0.694607861
395,-0.127412926,0.595727007,-0.508508826
396,-0.108112932,0.488568054,-0.745117024
397,-0.273861002,0.603845956,-0.450193348
398,0.057179203,0.653996743,-0.282065723
399,-0.142694014,0.460872695,0.008027504
400,0.41277339,0.791678965,0.021212768
401,-0.030357302,0.70399212,-0.505337213
402,0.005402946,0.43790921,-0.025455171
403,0.277450239,0.588424968,0.194286853
404,0.286473074,0.563594378,-0.023893086
405,0.67110656,0.651574997,0.163204356
406,0.226835379,0.604256484,-0.061834228
407,0.611519606,0.808798848,0.028675151
408,0.635354254,0.87959196,-0.012585737
409,0.653482168,0.949884338,0.100471479
410,0.455228144,0.813911639,-0.25621869
411,0.380234116,0.766731092,-0.298245946
412,-0.685949218,0.031057066,-0.504179219
413,-0.633751494,0.063254827,-0.549646819
414,-0.125308891,0.300378674,-0.803798277
415,0.119208358,0.338477101,-0.65002053
416,-0.403142252,0.330980772,-0.766437447
417,0.065662287,0.416515628,-0.528591169
418,-0.064865747,0.453195065,-0.493777471
419,-0.286681603,0.43263361,-0.589060049
420,-0.192020592,0.443949414,-0.611838491
421,-0.105586528,0.445467672,-0.499522795
422,0.170731328,0.7266254,-0.531446327
423,0.204048969,0.731162542,-0.447037766
424,0.308703849,0.721817394,-0.460762403
425,0.256752139,0.570949226,-0.615819208
426,0.060123767,0.509366175,-0.520526711
427,-0.095762501,0.497947951,-0.559594568
428,0.129454571,0.53801267,-0.520341246
429,0.098604677,0.506983485,-0.485433532
430,-0.615500879,0.245244814,0.383359879
431,-0.541905223,0.258336682,0.466399631
432,-0.365097494,0.357320975,0.517329011
433,-0.483957103,0.290728612,0.509244818
434,-0.365732109,0.347735251,0.571767294
435,-0.343193735,0.411098735,0.589116633
436,-0.240187006,0.430380806,0.639443926
437,0.039362928,0.171954149,-0.502922836
438,-0.046361003,0.195073965,-0.790910762
439,0.322452188,0.206429406,-0.616535652
440,0.005052961,0.202808541,-0.784154656
441,0.088261267,0.189528204,-0.730592535
442,0.127979486,0.233914189,-0.734809745
443,0.327258123,0.252165891,-0.604978339
444,0.48476232,0.408326321,-0.355128779
445,-0.488602942,-0.026847491,0.656327372
446,-0.384165083,0.088603176,0.743954532
447,-0.427299146,0.192498929,0.615607399
448,-0.119625909,0.098407226,0.890768067
449,-0.406619275,-0.013208799,0.766040481
450,0.080391119,0.553723327,0.144293219
451,0.221594604,0.806657015,0.215388789
452,0.674674687,0.754122742,0.372505035
453,0.352803099,0.936619932,0.28864977
454,0.745011063,0.982404846,0.451085437
455,0.332169861,0.960994367,0.156570313
456,0.581109701,0.982750422,0.285474931
457,0.272699508,0.960413635,0.136452414
458,0.480329287,0.979140523,0.243899165
459,0.796120341,1,0.406110691
460,0.31095023,0.902780982,0.195984879
461,-0.029442138,0.742192795,0.033728449
462,0.47243113,0.748938291,0.020480708
463,-0.042656506,0.737447729,-0.399948343
464,0.207800699,0.735293473,-0.140374292
465,-0.214054616,0.25454534,-0.39026554
466,-0.17902275,0.213841959,-0.371943611
467,-0.869344386,-0.141623529,-0.293820623
468,-0.918151498,-0.127391903,-0.391015235
469,-0.840863924,-0.067798349,-0.388534082
470,-0.861006377,0.054928323,-0.433373388
471,-0.315893423,0.613389234,0.386300156
472,-0.344344099,0.663939888,0.063348309
473,-0.337278395,0.551287872,0.389349271
474,-0.410510651,0.654362873,-0.018500278
475,-0.453796111,0.321386526,0.349823965
476,-0.33552025,0.422047012,0.440245179
477,-0.354369868,0.455368548,0.417207299
478,-0.37022447,0.497485824,0.332979551
