ID,IsomapX,IsomapY,IsomapZ
70,-0.617113999,-0.06699752,-0.463936938
71,-0.558886478,-0.020539995,-0.62987785
72,-0.004235856,0.689622732,-0.734424834
73,-0.053516817,0.848127054,-0.028804114
74,-0.00749827,0.750489916,-0.487427163
75,-0.295502906,0.892733546,-0.376684784
76,-0.240829255,0.830727243,-0.602592969
77,-0.188390747,0.886694041,-0.485954947
78,-0.162406745,0.854273893,-0.632738629
79,-0.185632598,0.77875048,-0.652802655
80,-0.219025982,0.703969075,-0.68776685
81,-0.11900682,0.782530902,-0.73653019
82,-0.135616046,0.721323365,-0.796567702
83,-0.063290312,-0.119539776,-0.725830505
84,-0.015862018,-0.369058269,-0.639164095
85,0.052049155,-0.329959793,-0.707233173
86,0.090902753,-0.330983963,-0.743379815
87,-0.234044138,0.40920243,-0.292597686
88,-0.222587251,0.238026978,-0.176050855
89,-0.29050339,0.277744836,-0.161324161
90,-0.255486594,0.251412249,-0.251624988
91,-0.349908048,0.086303515,-0.038462372
92,-0.435793318,-0.137031558,0.073645091
93,-0.520564034,-0.383848011,0.182596431
94,-0.451394265,-0.521074365,0.238258652
95,-0.586140249,-0.72594691,0.173418004
96,-0.544314703,-0.876852566,0.008463572
97,-0.467167542,-0.811777432,0.229845009
98,-0.362716652,-0.935184123,-0.004451305
99,-0.493794864,-0.96769046,-0.028924429
100,-0.469703926,-1,-0.151132086
101,-0.317741501,-0.938419754,-0.103541476
102,-0.190003848,-0.890559156,-0.301761619
103,-0.484067032,-0.290204343,-0.599125658
104,-0.45114105,-0.185663336,-0.701536206
105,-0.33606243,-0.074768926,-0.808002182
106,-0.366010432,-0.12694724,-0.794068537
107,-0.471665726,-0.193603624,-0.68225701
108,-0.414472659,-0.083284186,-0.765650459
109,-0.313073052,-0.009201027,-0.881205357
110,-0.206156389,0.083352572,-0.91033125
111,-0.267097799,-0.112146825,-0.81266234
112,-0.272989267,-0.31146454,-0.810401911
113,-0.141689964,0.135675012,-0.939709147
114,-0.138168309,-0.074434953,-0.935560048
115,-0.221665498,-0.28940535,-0.809498384
116,-0.229071313,-0.548505374,-0.661231913
117,-0.106753355,-0.077745236,-0.924042572
118,-0.090537372,-0.142607652,-0.898928666
119,-0.366222891,0.243696438,-0.042500141
120,-0.410986027,0.171962037,-0.004822991
121,-0.501615428,0.072346012,0.055653005
122,-0.755794329,-0.398946412,0.156637201
123,-0.689830292,-0.365227637,0.141306875
124,-0.498575359,-0.65216803,-0.400717342
125,-0.618623223,-0.192458901,0.161422315
126,-0.586723929,-0.146904323,0.155382966
127,-0.800137932,-0.69765546,0.158914909
128,-0.666298774,-0.725407456,-0.034897579
129,0.004799509,0.192946722,-0.700015642
130,-0.012102543,0.184736683,-0.535254173
131,-0.067573376,0.096090494,-0.693139884
132,-0.031474462,0.251658921,-0.725706788
133,-0.398312684,-0.534817986,-0.606959086
134,-0.323842839,-0.668818694,-0.578633045
135,-0.400855341,-0.840296929,-0.42168293
136,-0.232652999,-0.770675895,-0.525648308
137,-0.047729399,-0.644858116,-0.67592293
138,0.006287244,-0.639898083,-0.636673941
139,-0.063631888,-0.738738037,-0.581263223
140,-0.012554118,-0.590047966,-0.74318206
141,-0.008680467,-0.673885857,-0.59547999
142,0.016796327,-0.481103441,-0.823388137
143,0.055901089,-0.46152451,-0.862838244
144,0.004354294,-0.573743153,-0.696758619
145,0.185295297,-0.241000245,-0.915005898
146,0.141707505,-0.567502524,-0.568090594
147,0.044010665,-0.399638072,-0.636349928
148,0.174354324,-0.66233211,-0.465278716
149,-0.169508409,0.914134185,0.062247744
150,-0.107211434,0.936965808,-0.169439583
151,-0.250319662,0.906968715,0.239733775
152,-0.181563279,0.904661443,0.073368354
153,-0.311039935,0.878651028,0.284650711
