ID,TsneX,TsneY,TsneZ
260,0.518172355,-0.298416412,0.653310781
261,0.598867168,-0.254510949,0.629404017
262,0.561547098,-0.36138299,0.594857654
263,0.459611104,-0.357073816,0.662715741
264,0.404116663,-0.34767838,0.690220645
265,0.429394817,-0.40364984,0.645987321
266,0.502244842,-0.404159983,0.603693915
267,0.853401278,-0.085508861,0.493266903
268,0.739804605,-0.210512432,0.526977814
269,0.695854254,-0.318743663,0.504306369
270,0.640138308,-0.412922821,0.489664675
271,0.618714717,-0.502971893,0.431931848
272,0.573115769,-0.463149227,0.509891091
273,0.606824364,-0.556027909,0.374475716
274,0.428572637,-0.534631407,0.536402607
275,0.22383721,-0.722869352,0.435462916
276,0.227878323,-0.825738312,0.328275089
277,0.223000512,-0.845858692,0.289457121
278,0.592141164,-0.213948004,0.595995835
279,0.630504852,-0.242431869,0.564791088
280,0.598894512,-0.610650708,0.299620058
281,0.565646478,-0.666011845,0.351922403
282,0.528433259,-0.736818333,0.222623244
283,0.530171002,-0.71756873,0.301851086
284,0.405790139,-0.898773724,0.103180572
285,0.425381512,-0.948578323,0.091213022
286,0.37369298,-0.906977488,0.056741508
287,0.418420339,-0.953805364,-0.006393221
288,-0.157902722,-0.68167448,0.301580192
289,-0.064233401,-0.772364771,0.19638145
290,-0.162830108,-0.634876329,0.282519826
291,-0.137298446,-0.707578643,0.21008614
292,-0.191915316,-0.672472547,0.178548313
293,-0.301317033,-0.597569985,0.108605075
294,-0.051076239,-0.771560919,0.16320359
295,0.096365597,-0.897949485,-0.031784699
296,-0.344469562,-0.556986516,0.078607833
297,-0.374650561,-0.509597931,0.007976111
298,-0.037573969,-0.796458502,0.081915023
299,-0.128068925,-0.740225106,0.091686482
300,-0.402270601,-0.473343031,-0.034589404
301,-0.364358844,-0.48057144,-0.102775637
302,-0.323392584,-0.505194312,-0.14873486
303,-0.393477935,-0.399030403,-0.173760716
304,-0.429462697,0.316939776,0.974098101
305,-0.219214286,0.261480836,0.979191413
306,-0.41611245,0.365891462,0.978896726
307,-0.068325492,0.204513502,0.958815639
308,-0.358892121,0.262606888,0.970089402
309,-0.647017785,0.352275986,0.95366756
310,-0.267228791,0.240154726,0.975662281
311,-0.450954815,0.263591966,0.959036268
312,-0.734493705,0.378716558,0.95211975
313,-0.808439042,0.33133204,0.929358633
314,-0.562201597,0.289543347,0.949031878
315,-0.721926863,0.290631456,0.917534144
316,-0.832423735,0.358904516,0.916131122
317,-0.85860407,0.270251204,0.864834453
